Model,Test_Loss,Test_Accuracy
RNN_Simple_Model,0.34697043895721436,0.8484420776367188
RNN_Multiple_RNN_layers,0.35851427912712097,0.8407784700393677
RNN_Bidirectional_RNN,0.3661945164203644,0.8420893549919128
RNN_Regularization_techniques_Dropout,0.3529094159603119,0.8491479158401489
RNN_Complex_model,0.3438315987586975,0.850660502910614
RNN_Complex_model_1,0.3480149507522583,0.8479378819465637
