Model,Test_Loss,Test_Accuracy
LSTM_Simple_Model,0.34921640157699585,0.8455178141593933
LSTM_more_layers,0.3390949070453644,0.8543914556503296
LSTM_with_dropout ,0.34673747420310974,0.8550972938537598
LSTM_Bidirectional,0.35845357179641724,0.8461228013038635
LSTM_Complex_model,0.3372991979122162,0.8564081788063049
LSTM_Complex_model_1,0.34937790036201477,0.8533830642700195
